,country_id,country
0,0,England
1,1,Hong Kong
2,2,Australia
3,3,Canada
4,4,Wales
5,5,Spain
6,6,Malta
7,7,USA
8,8,Brunei
9,9,France
10,10,Netherlands
11,11,Italy
12,12,Greece
13,13,Ireland
14,14,Malaysia
15,15,Singapore
16,16,Taiwan
17,17,Argentina
18,18,Peru
19,19,Mexico
20,20,Croatia
21,21,Germany
22,22,Colombia
23,23,Brazil
24,24,Finland
25,25,New Zealand
26,26,South Africa
27,27,Iraq
28,28,Hungary
29,29,Norway
30,30,India
31,31,Belgium
32,32,Japan
33,33,China
34,34,Lithuania
35,35,Denmark
36,36,Sweden
37,37,Czech Republic
38,38,Slovenia
39,39,Switzerland
40,40,South Korea
41,41,UK
42,42,Trinidad And Tobago
43,43,Thailand
44,44,Indonesia
45,45,Scotland
46,46,Chile
47,47,Bulgaria
48,48,Luxembourg
49,49,Latvia
50,50,Puerto Rico
51,51,Austria
52,52,Romania
53,53,Bosnia And Herzegovina
54,54,Philippines
55,55,Northern Ireland
56,56,Turkey
57,57,Poland
58,58,Portugal
59,59,Slovakia
60,60,Venezuela
61,61,Jordan
62,62,Guatemala
63,63,Russia
64,64,Vietnam
65,65,Estonia
66,66,Israel
67,67,Costa Rica
68,68,Belarus
69,69,Kyrgyzstan
70,70,Kazakhstan
71,71,Iran
72,72,Bouvet Island
73,73,Congo
74,74,Ukraine
75,75,Pakistan
76,76,Uruguay
77,77,El Salvador
78,78,Holy See (vatican City State)
79,79,Cayman Islands
80,80,Bangladesh
81,81,British Virgin Islands
82,82,Tunisia
83,83,Dominican Republic
84,84,American Samoa
85,85,Morocco
86,86,Armenia
87,87,Ecuador
88,88,Serbia
89,89,Egypt
90,90,British Indian Ocean Territory
91,91,Azerbaijan
92,92,Iceland
93,93,Lebanon
94,94,Jamaica
95,95,Paraguay
96,96,Cyprus
97,97,Gabon
98,98,French Guiana
99,99,French Polynesia
100,100,Tanzania
101,101,Tuvalu
102,102,Macau
103,103,Haiti
104,104,Mauritius
105,105,Nepal
106,106,Bahamas
107,107,Afghanistan
108,108,Algeria
109,109,Sri Lanka
110,110,Fiji
111,111,Honduras
112,112,Uzbekistan
113,113,Zimbabwe
114,114,US Virgin Islands
115,115,San Marino
116,116,Canadian
117,117,Albania
118,118,Antarctica
119,119,Bolivia
120,120,Saudi Arabia
121,121,Benin
122,122,Palestine
123,123,Belize
124,124,Panama
125,125,Polish
126,126,Kenya
127,127,Swaziland
128,128,Bermuda
129,129,New Caledonia
130,130,Bhutan
131,131,Yemen
132,132,
